,,,Max,Mean,Median,Min,Std Dev
UWB,1,2,0.03659010629977466,-0.02926587280131719,-0.015995275628920558,-0.12449312829803127,0.05830565803651539
Pixel-to-Real,1,2,0.011640227211709764,-0.07656884012809846,-0.09922675957093818,-0.15239166060455456,0.06259954470397851
Optical,1,2,0.14603347053380822,0.04199875280870555,0.04087541949064155,-0.025669901977334098,0.051585110663006896
