,,,Mean,Median,Max,Min,Std Dev
Pixel-to-Real,1,2,-0.051578779360239774,-0.07956426760754476,0.46637865668536627,-0.725066057576552,0.315715715901349
Pixel-to-Real,1,3,0.12933328980049275,0.15357183084702886,0.6090781453667073,-0.4154275245733623,0.26618343978181613
Pixel-to-Real,2,3,0.12927950292567347,0.10383926699378643,0.8261066010215745,-0.4072456364960304,0.24748354265898748
Optical,1,2,0.026278609166277132,0.013847295117499492,0.42295056909089657,-0.38467695288672377,0.22864186305571246
Optical,1,3,-0.08979981617072888,-0.03138756181264846,0.3060227038717529,-1.09218521899078,0.34838274733633495
Optical,2,3,-0.17650308504072398,-0.11128203192002939,0.32363390008352355,-1.457615850230352,0.39759373670050135
