created_at,mac,rssi,interface
2022-04-06 12:10:00.866889,D8:01:00:07:6B:5C,-85,ESP32_1
2022-04-06 12:10:02.302358,D8:01:00:07:6B:5C,-92,ESP32_5
2022-04-06 12:10:02.911073,DF:99:1C:50:22:47,-92,ESP32_6
2022-04-06 12:10:02.976735,DF:99:1C:50:22:47,-91,ESP32_1
2022-04-06 12:10:03.401067,D8:01:00:07:6B:5C,-82,ESP32_6
2022-04-06 12:10:03.678775,D8:01:00:07:6B:5C,-72,ESP32_1
2022-04-06 12:10:03.920025,DC:2C:6E:18:84:EB,-85,ESP32_6
2022-04-06 12:10:05.031936,DC:2C:6E:18:84:EB,-63,ESP32_1
2022-04-06 12:10:05.529234,DF:99:1C:50:22:47,-87,ESP32_6
2022-04-06 12:10:05.975737,DC:2C:6E:18:84:EB,-60,ESP32_1
2022-04-06 12:10:06.339210,D8:01:00:07:6B:5C,-87,ESP32_2
2022-04-06 12:10:08.170078,DF:99:1C:50:22:47,-94,ESP32_2
2022-04-06 12:10:08.672533,D8:01:00:07:6B:5C,-92,ESP32_2
2022-04-06 12:10:08.843777,DC:2C:6E:18:84:EB,-62,ESP32_1
2022-04-06 12:10:10.018877,DC:2C:6E:18:84:EB,-68,ESP32_1
2022-04-06 12:10:10.140738,D8:01:00:07:6B:5C,-64,ESP32_1
2022-04-06 12:10:10.287741,D8:01:00:07:6B:5C,-93,ESP32_3
2022-04-06 12:10:13.823008,DC:2C:6E:18:84:EB,-78,ESP32_6
2022-04-06 12:10:15.050620,D8:01:00:07:6B:5C,-84,ESP32_6
2022-04-06 12:10:15.201295,D8:01:00:07:6B:5C,-88,ESP32_3
2022-04-06 12:10:18.694114,D8:01:00:07:6B:5C,-91,ESP32_5
2022-04-06 12:10:18.714369,D8:01:00:07:6B:5C,-94,ESP32_2
2022-04-06 12:10:20.757025,DC:2C:6E:18:84:EB,-94,ESP32_5
2022-04-06 12:10:20.997716,DF:99:1C:50:22:47,-80,ESP32_6
2022-04-06 12:10:21.029208,DF:99:1C:50:22:47,-86,ESP32_1
2022-04-06 12:10:22.068466,DC:2C:6E:18:84:EB,-74,ESP32_1
2022-04-06 12:10:22.459744,D8:01:00:07:6B:5C,-78,ESP32_6
2022-04-06 12:10:22.478828,D8:01:00:07:6B:5C,-80,ESP32_1
2022-04-06 12:10:22.539916,D8:01:00:07:6B:5C,-86,ESP32_3
2022-04-06 12:10:22.831450,DC:2C:6E:18:84:EB,-90,ESP32_6
2022-04-06 12:10:22.885338,DC:2C:6E:18:84:EB,-72,ESP32_1
2022-04-06 12:10:23.448570,DF:99:1C:50:22:47,-85,ESP32_1
2022-04-06 12:10:23.560322,DF:99:1C:50:22:47,-97,ESP32_3
2022-04-06 12:10:24.945726,DC:2C:6E:18:84:EB,-95,ESP32_5
2022-04-06 12:10:25.079083,D8:01:00:07:6B:5C,-77,ESP32_6
2022-04-06 12:10:25.184501,D8:01:00:07:6B:5C,-84,ESP32_3
2022-04-06 12:10:25.237490,D8:01:00:07:6B:5C,-76,ESP32_1
2022-04-06 12:10:26.166159,DF:99:1C:50:22:47,-74,ESP32_1
2022-04-06 12:10:26.833985,DC:2C:6E:18:84:EB,-87,ESP32_6
2022-04-06 12:10:26.842870,DC:2C:6E:18:84:EB,-72,ESP32_1
2022-04-06 12:10:26.939282,DC:2C:6E:18:84:EB,-93,ESP32_3
