id,id_external,interface,ssid,mac,tx_rate,rx_rate,rx_signal,uptime,packets,bytes,tx_rate_set,created_at
18500979,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,104Mbps-20MHz/2S,-70,10m43s40ms,"434,468","166300,109597","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:17:52.552116
18501050,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,104Mbps-20MHz/2S,-70,10m53s40ms,"434,468","166300,109597","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:02.160085
18501067,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,14m44s600ms,"4438,3627","2196737,769480","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:02.279008
18501122,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,104Mbps-20MHz/2S,-70,11m3s40ms,"434,468","166300,109597","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:12.006689
18501130,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-64,14m54s600ms,"4438,3629","2196737,769564","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:12.076313
18501198,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,24Mbps,-70,11m13s40ms,"437,470","166521,109736","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:22.114336
18501204,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-64,15m4s600ms,"4438,3632","2196737,769690","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:22.185552
18501252,*2237E,5GHz-CAP8-4np-CHILL-1,GBS-guests,34:1C:F0:D5:EB:16,117Mbps-20MHz/2S,24Mbps,-70,11m23s40ms,"437,470","166521,109736","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:32.040540
18501269,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-65,15m14s600ms,"4438,3639","2196737,769984","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:32.380425
18501315,*2236F,5GHz-CAP4-4np-OaM-1,GBS-guests,60:DD:8E:B6:62:5F,54Mbps,6Mbps,-64,15m24s600ms,"4438,3643","2196737,770152","OFDM:24-54 BW:1x SGI:1x HT:0-15 VHTMCS:SS1=0-9,SS2=0-9",2022-04-06 12:18:41.959462
