,,,Mean,Median,Max,Min,Std Dev
UWB,1,2,-0.05093195878589203,-0.07032866180890651,0.32998982903316065,-0.47036626070507603,0.20301603565260912
UWB,1,3,-0.03605627895812101,-0.028565455546682994,0.4313593472485362,-0.33156687093497617,0.16450578799165277
UWB,2,3,-0.00027786207114794466,0.02783750405693941,0.31789065790279636,-0.38157606864338467,0.177565616521436
Pixel-to-Real,1,2,-0.10251073814613182,-0.0928224850307664,0.19131574420621122,-0.5316510434895878,0.15676601900118917
Pixel-to-Real,1,3,0.09327701084237174,0.06280402855556222,0.4704966683148806,-0.42858537396647733,0.18549804030414827
Pixel-to-Real,2,3,0.12900164085452556,0.12217187339283009,0.44453053237818985,-0.31069549657119944,0.17188187777212313
Optical,1,2,-0.0246533496196149,-0.005225637516070858,0.05267648915158496,-0.22401577604496725,0.07095163964219889
Optical,1,3,-0.1258560951288499,-0.009654023962678782,0.1338469585022608,-0.9358214375675877,0.27638039448570273
Optical,2,3,-0.17678094711187195,-0.012040834235310216,0.07181179130636006,-1.5095652475794714,0.38477732757422123
