,,,Max,Mean,Median,Min,Std Dev
Pixel-to-Real,1,2,0.06286224880031455,-0.04730296732678127,-0.027898532306523283,-0.16238358659879126,0.07961637114725899
Optical,1,2,0.1983208110858643,0.07126462561002274,0.05458596816225092,-0.03814401180516569,0.07974729032877777
